show_id,title,genre,duration,broadcast_date,rating,views
1,Strictly Come Dancing,Documentary,,27/04/2023,N/A,?
2,Frozen Planet,Reality,90 min,25 Mar 2023,,?
3,Match of the Day,Drama,45 min,2023-01-16,,N/A
4,Strictly Come Dancing,Reality,30mins,08/01/2024,,?
5,Luther,Documentary,90 min,18/03/2023,5.1,?
6,Top Gear,Sports,,02 Oct 2022,8.3,N/A
7,Frozen Planet,Cooking,60,27/09/2023,,
8,Peaky Blinders,Cooking,45 min,Oct 26 2022,,
9,Strictly Come Dancing,Sci-Fi,30mins,May 03 2024,,
10,Peaky Blinders,Reality,?,2023-08-02,,
11,Frozen Planet,Reality,90 min,Jun 07 2023,8.2,N/A
12,EastEnders,Sports,60,Jul 18 2022,,1030
13,Luther,Documentary,60,May 04 2022,N/A,163
14,The Apprentice,Sports,42,22 Aug 2023,9.7,?
15,Peaky Blinders,Documentary,90 min,Jan 15 2023,7.6,
16,Match of the Day,Sports,30mins,2022-02-26,N/A,N/A
17,Match of the Day,Cooking,90 min,Oct 07 2023,N/A,
18,Frozen Planet,Sci-Fi,30mins,2023-12-18,,N/A
19,The Repair Shop,Sports,30mins,29/05/2023,,?
20,Strictly Come Dancing,Documentary,,21/01/2024,N/A,
21,EastEnders,Documentary,90 min,Jan 18 2023,,N/A
22,Strictly Come Dancing,Sports,114,23 Aug 2023,6.6,2770
23,Luther,Sci-Fi,115,Apr 11 2022,N/A,?
24,Doctor Who,Documentary,30mins,24 Apr 2022,,
25,Doctor Who,Reality,?,23/07/2023,N/A,
26,Top Gear,Reality,?,28/11/2022,N/A,N/A
27,Top Gear,Documentary,90 min,2023-02-18,N/A,
28,The Repair Shop,Comedy,117,2022-06-28,N/A,N/A
29,Sherlock,Drama,?,03 May 2022,,N/A
30,Match of the Day,Cooking,,09 May 2024,,
31,Doctor Who,Cooking,?,Feb 20 2024,4.1,?
32,Match of the Day,Sci-Fi,60,2022-03-18,,4790
33,Doctor Who,Sci-Fi,45 min,2022-12-17,9.8,N/A
34,Doctor Who,Sci-Fi,90 min,29 Jun 2023,,?
35,Sherlock,Cooking,?,May 26 2023,,?
36,Match of the Day,Documentary,?,01 Oct 2023,4.2,2939
37,The Repair Shop,Cooking,45 min,Jan 07 2023,N/A,
38,EastEnders,Comedy,45 min,25/06/2022,1.5,?
39,Match of the Day,Comedy,90 min,05/01/2022,,2431
40,Doctor Who,Comedy,,28 Oct 2023,1.4,?
41,Doctor Who,Reality,?,Jul 05 2023,,4739
42,Match of the Day,Drama,90 min,Jun 19 2022,N/A,?
43,Strictly Come Dancing,Reality,,22 May 2022,N/A,?
44,Frozen Planet,Cooking,?,Sep 29 2022,9.2,
45,The Repair Shop,Documentary,90 min,26 Mar 2024,,?
46,Doctor Who,Documentary,30mins,2022-10-09,2.5,N/A
47,Match of the Day,Documentary,,30/09/2022,,N/A
48,Doctor Who,Drama,23,Oct 11 2023,2.3,123
49,EastEnders,Sports,90 min,09 Dec 2022,,N/A
50,The Repair Shop,Documentary,30mins,2024-01-09,3.1,N/A
51,Doctor Who,Cooking,84,Aug 06 2022,4.2,?
52,Planet Earth,Comedy,45 min,Feb 13 2024,,N/A
53,Peaky Blinders,Cooking,?,30 Dec 2023,,
54,Frozen Planet,Cooking,30mins,27/03/2022,,N/A
55,Doctor Who,Sci-Fi,?,06/04/2024,,
56,The Repair Shop,Reality,,May 16 2022,8.2,4937
57,Top Gear,Drama,60,26 May 2024,5.9,N/A
58,Luther,Sports,60,2023-12-03,,
59,Frozen Planet,Documentary,90 min,2022-11-07,,
60,Frozen Planet,Comedy,90 min,Apr 13 2022,N/A,N/A
61,Luther,Sports,90 min,30/05/2022,N/A,
62,EastEnders,Drama,60,Feb 13 2022,3.4,2187
63,EastEnders,Comedy,45,Dec 29 2022,N/A,?
64,Planet Earth,Reality,117,Mar 01 2022,5.3,N/A
65,Frozen Planet,Cooking,,Sep 05 2023,6.3,
66,Strictly Come Dancing,Cooking,45 min,2022-04-01,N/A,357
67,Top Gear,Sports,90 min,2022-08-07,N/A,2804
68,Match of the Day,Sports,90 min,May 23 2023,9.8,4737
69,EastEnders,Sports,62,22/09/2023,,N/A
70,The Apprentice,Sports,?,19/08/2022,2.0,N/A
71,Sherlock,Drama,?,Jul 09 2022,9.2,N/A
72,Frozen Planet,Sci-Fi,45 min,03/03/2024,,N/A
73,Doctor Who,Comedy,30mins,2023-05-04,N/A,?
74,Top Gear,Comedy,30mins,May 28 2023,,
75,Planet Earth,Reality,30mins,15 Sep 2022,9.0,
76,Strictly Come Dancing,Documentary,60,2022-02-22,,N/A
77,Planet Earth,Comedy,71,03/04/2022,,
78,Strictly Come Dancing,Documentary,45 min,Oct 01 2022,,N/A
79,Top Gear,Documentary,118,Oct 07 2022,N/A,?
80,The Repair Shop,Reality,?,2023-11-19,8.5,3111
81,Planet Earth,Comedy,60,24/07/2023,,?
82,Peaky Blinders,Documentary,60,13/03/2023,N/A,
83,Sherlock,Documentary,90 min,03 Sep 2023,,N/A
84,Peaky Blinders,Comedy,60,2023-02-01,7.4,N/A
85,Match of the Day,Drama,60,Apr 26 2022,N/A,?
86,EastEnders,Reality,30mins,20/01/2023,6.0,
87,The Apprentice,Comedy,30mins,23/01/2024,,3384
88,Strictly Come Dancing,Drama,72,13/04/2023,,4918
89,Match of the Day,Documentary,104,Oct 27 2022,3.2,N/A
90,Planet Earth,Reality,45 min,12 Feb 2024,N/A,N/A
91,Match of the Day,Reality,45 min,13/10/2022,6.6,N/A
92,Frozen Planet,Drama,60,Mar 28 2024,,?
93,Planet Earth,Comedy,30mins,06 Oct 2023,8.1,
94,Sherlock,Comedy,,2022-10-22,,?
95,Strictly Come Dancing,Sci-Fi,60,2022-04-21,6.0,?
96,Match of the Day,Comedy,?,Aug 17 2022,,?
97,Planet Earth,Sci-Fi,?,20/02/2023,,913
98,The Apprentice,Comedy,45 min,2022-02-14,,4222
99,The Apprentice,Cooking,?,Oct 24 2023,N/A,N/A
100,Planet Earth,Sci-Fi,45 min,2022-08-15,,?
101,Match of the Day,Documentary,60,30/07/2022,,N/A
102,Peaky Blinders,Reality,114,16 Sep 2023,1.5,?
103,Peaky Blinders,Cooking,?,Sep 08 2023,2.5,1620
104,Match of the Day,Documentary,?,2023-11-16,,
105,Match of the Day,Drama,30mins,12 Dec 2022,N/A,1909
106,EastEnders,Cooking,90 min,Mar 15 2022,,3764
107,Doctor Who,Documentary,45 min,Sep 22 2022,7.9,4408
108,Sherlock,Sports,45 min,27/08/2022,1.2,N/A
109,Frozen Planet,Sci-Fi,27,Jun 18 2023,,?
110,Planet Earth,Sci-Fi,114,10 Apr 2023,7.0,
111,Frozen Planet,Documentary,60,2022-12-30,2.0,1903
